2MASS J1645-4521       ;Sco  ;16 45 44.6 -45 21 51 ;IR   ;EC?  ;    1.30;      ;       ;                                                       ;
BSP 11                 ;Aql  ;18 48 18.6 -02 06 58 ;IR   ;SFR  ;    5.30;  5520;       ;                                                       ;
BSP 2                  ;Aql  ;18 48 04.4 -01 56 07 ;IR   ;SFR  ;    6.60; 11200;       ;                                                       ;
BSP 21                 ;Vul  ;19 42 34.8 +23 49 08 ;IR   ;OC   ;    5.60;  2300;       ;LMR 100                                                ;
BSP 3                  ;Aql  ;18 45 44.6 -01 29 14 ;IR   ;SFR  ;    4.90; 12900;       ;                                                       ;Inside the shell of HII reg. WAM G30.96+0.59
BSP 4                  ;Aql  ;18 44 27.5 -03 20 49 ;IR   ;SFR  ;   11.70;  8970;       ;                                                       ;
BSP 5                  ;Aql  ;18 46 05.9 -02 41 13 ;IR   ;SFR  ;   15.80;  5950;       ;RM 14, Ryu 913                                         ;Sev HII regs nearby, poss more than one cl, dist from Anderson+ 2014
BSP 6                  ;Aql  ;18 45 44.0 -02 32 12 ;IR   ;EC   ;    1.80;  7400;       ;Ryu 916                                                ;In HII reg HRDS G30.02+0.11, dist from Anderson+ 2012
BSP 8                  ;Aql  ;18 47 39.6 -02 19 55 ;IR   ;SFR  ;    6.10;  7960;       ;                                                       ;
BSP 9                  ;Aql  ;18 48 01.4 -01 53 47 ;IR   ;SFR  ;    7.30;  7650;       ;                                                       ;
BW88 1                 ;Per  ;04 30 03.4 +35 19 30 ;Op   ;OC   ;   13.40;   544;       ;NGC 1579 Cl, BDB 143, LkHalpha 101, FSR 739, Per III   ;Also Per T3
Basel 14               ;Cyg  ;21 21 01.7 +44 49 30 ;Op   ;OC   ;   13.20;  1802;   8.98;V532 Cyg                                               ;
Beta Pic Assoc         ;Tel  ;18 16 49.2 -50 53 00 ;Op   ;YAs  ; 4000.00;    36;   7.08;                                                       ;Coords and diam of its nucleus
Beta Tuc Assoc         ;Tuc  ;00 31 32.7 -62 57 30 ;Op   ;YAs  ;  600.00;    44;   7.79;                                                       ;Clump/subgroup in Tuc-Hor Assoc, which is part of the Great Austral Nearby Young Assoc (GAYA). Centered on Beta Tuc
Bica 101               ;Aql  ;19 23 11.0 +14 26 41 ;IR   ;EC   ;    1.20;  5500;       ;                                                       ;Three HII reg nearby
Bica 103               ;Sge  ;19 25 23.0 +17 07 16 ;IR   ;OC   ;    3.40;  3000;       ;                                                       ;
Bica 106               ;Vul  ;19 23 21.0 +22 03 50 ;Op   ;OC   ;    4.00;  5800;       ;                                                       ;
Bica 108               ;Vul  ;19 37 02.0 +20 29 36 ;Op   ;OC   ;    6.00;  4530;       ;                                                       ;
Bica 110               ;Vul  ;19 45 23.0 +24 07 50 ;Op   ;OC   ;   10.00;  2420;       ;                                                       ;In Vul OB1 or Vul OB4
Bica 115               ;Vul  ;19 52 02.0 +26 21 11 ;IR   ;EC   ;    0.50;  8800;       ;                                                       ;Compact
Bica 119               ;Cyg  ;20 04 51.0 +37 44 40 ;Op   ;OC   ;    8.00;      ;       ;                                                       ;
Bica 120               ;Cyg  ;20 15 38.0 +36 40 53 ;IR   ;OC   ;    2.50;      ;       ;                                                       ;
Bica 126               ;Cyg  ;20 19 15.0 +39 07 28 ;Op   ;OC   ;   12.00;      ;       ;                                                       ;
Bica 133               ;Cyg  ;20 19 48.0 +40 46 32 ;IR   ;OC   ;    1.50;      ;       ;                                                       ;In large nebula
Bica 134               ;Cyg  ;20 26 45.0 +40 02 49 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
Bica 136               ;Cyg  ;20 29 05.0 +40 32 00 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;At the edge of FSR 227
Bica 137               ;Cyg  ;20 25 29.0 +41 08 27 ;IR   ;OC   ;    5.00;      ;       ;                                                       ;1st & 2nd generations?
Bica 142               ;Cyg  ;20 35 35.0 +42 20 16 ;IR   ;OC   ;    3.50;      ;       ;                                                       ;
Bica 143               ;Cyg  ;20 37 30.0 +42 13 55 ;IR   ;OC   ;    0.80;      ;       ;                                                       ;In pair
Bica 145               ;Cyg  ;20 37 16.0 +42 16 37 ;IR   ;OC   ;    2.00;      ;       ;                                                       ;
Bica 147               ;Cyg  ;20 38 55.0 +42 21 52 ;IR   ;OC   ;    0.70;      ;       ;                                                       ;
Bica 150               ;Cyg  ;20 33 37.0 +45 35 44 ;IR   ;OC   ;    1.80;      ;       ;                                                       ;
