Name                   ;Cns  ;RA          De       ;Wv   ;Type ;   Diam ;  Dist;    Age;Aliases                                                ;Notes
Camargo 699            ;Cas  ;01 27 22.0 +63 28 54 ;Op   ;OC?  ;    3.20;      ;       ;                                                       ;Prominent
Karhula 3              ;Cas  ;01 27 59.0 +63 17 18 ;Op   ;OC?  ;    3.50;      ;       ;                                                       ;
Camargo 701            ;Cas  ;01 28 41.0 +63 27 34 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;Impressive
FSR 547                ;Cas  ;01 29 45.1 +60 42 47 ;Op   ;OCR  ;    9.60;  2800;   8.90;                                                       ;
Iss 44                 ;Cas  ;01 31 12.3 +60 24 31 ;Op   ;OC?  ;    2.80;      ;       ;VB73 123                                               ;
Camargo 702            ;Cas  ;01 32 07.0 +63 28 55 ;IR   ;OC?  ;    5.00;      ;       ;                                                       ;Impressive, shock
Iss 10                 ;Cas  ;01 32 30.0 +65 31 29 ;Op   ;OC?  ;    2.10;      ;       ;VB73 51                                                ;
Teutsch J0132+5919     ;Cas  ;01 32 43.0 +59 19 36 ;Op   ;OC?  ;    5.00;      ;       ;                                                       ;
NGC 581                ;Cas  ;01 33 21.4 +60 39 32 ;Op   ;OC   ;    7.40;  2488;   7.42;M 103                                                  ;
Iss 46                 ;Cas  ;01 33 36.4 +59 50 27 ;Op   ;OC?  ;    7.90;      ;       ;VB73 130                                               ;
Alessi J0133+6015      ;Cas  ;01 33 43.6 +60 15 25 ;Op   ;OC?  ;   10.00;      ;       ;                                                       ;VB73 128 plus Iss 47 (VB73 132)
Gulliver 16            ;Cas  ;01 33 43.9 +60 45 04 ;Op   ;OC   ;    5.50;  4218;       ;Schoenball 1                                           ;
Teutsch J0135+6041     ;Cas  ;01 35 16.0 +60 41 06 ;Op   ;OC?  ;    2.00;      ;       ;                                                       ;
Camargo 705            ;Cas  ;01 35 43.0 +63 05 50 ;Op   ;OC?  ;    6.00;      ;       ;                                                       ;Impressive, include substructures
NGC 609                ;Cas  ;01 36 24.5 +64 32 24 ;Op   ;OC   ;    3.10;  5782;   9.10;King 3                                                 ;
NGC 629                ;Cas  ;01 38 58.5 +72 52 01 ;Op   ;OC?  ;    1.00;      ;       ;                                                       ;Very small and compact cluster
FSR 549                ;Cas  ;01 39 38.9 +65 55 16 ;Op   ;OCR? ;   10.80;  6001;   9.30;                                                       ;
Iss 51                 ;Cas  ;01 41 19.0 +61 21 14 ;Op   ;OC?  ;    3.40;      ;       ;VB73 142                                               ;
VB73 144 B             ;Cas  ;01 42 30.9 +60 05 40 ;Op   ;OC?  ;    2.80;      ;       ;                                                       ;
