Name                  ;Const;Coordinates (J2000.0);Wave ;Type ;Dia_arcm;Dst_pc;E(B-V);Log_t  ;Aliases                                                                                                    ;Comments
Bica 29               ;Sgr  ;17 58 32.0 -26 09 43 ;IR   ;OC?? ;    3.50;      ;      ;       ;                                                                                                           ;winds, shock
Bica 293              ;Ori  ;05 09 20.0 -02 53 39 ;IR   ;OC?? ;    8.00;      ;      ;       ;                                                                                                           ;
Bica 296              ;Ori  ;05 46 09.0 +00 09 57 ;IR   ;OC?? ;    1.50;      ;      ;       ;                                                                                                           ;
Bica 297              ;Ori  ;05 46 06.0 +00 14 01 ;IR   ;OC?? ;    9.00;      ;      ;       ;                                                                                                           ;
Bica 299              ;Eri  ;05 06 49.0 -07 11 28 ;IR   ;***  ;    2.00;      ;      ;       ;                                                                                                           ;in IC 2118
Bica 300              ;Ori  ;05 54 23.0 -01 04 27 ;IR   ;OC?? ;   15.00;      ;      ;       ;                                                                                                           ;in Barnard Loop
Bica 316              ;Mon  ;06 09 30.0 -06 19 45 ;IR   ;OC?? ;    4.50;      ;      ;       ;                                                                                                           ;
Bica 33               ;Sgr  ;17 49 15.0 -20 00 33 ;IR   ;OC?? ;    1.80;      ;      ;       ;                                                                                                           ;
Bica 344              ;CMa  ;07 14 27.0 -12 03 56 ;IR   ;***  ;   19.00;      ;      ;       ;                                                                                                           ;
Bica 348              ;CMa  ;07 08 04.0 -15 55 23 ;IR   ;***  ;   40.00;      ;      ;       ;                                                                                                           ;related to CMa R1?
Bica 349              ;CMa  ;07 18 52.0 -15 40 36 ;Op   ;***  ;   10.00;      ;      ;       ;                                                                                                           ;
Bica 352              ;Pup  ;07 31 18.0 -14 43 14 ;IR   ;OC?? ;    3.50;      ;      ;       ;                                                                                                           ;in pair
Bica 358              ;Pup  ;07 33 29.0 -14 52 29 ;IR   ;OC?? ;   10.00;      ;      ;       ;                                                                                                           ;
Bica 359              ;Pup  ;07 33 58.0 -15 05 19 ;IR   ;OC?? ;    3.00;      ;      ;       ;                                                                                                           ;
Bica 36               ;Sgr  ;18 09 17.0 -18 28 07 ;IR   ;OC?? ;    2.00;      ;      ;       ;                                                                                                           ;
Bica 361              ;CMa  ;07 22 52.0 -16 43 10 ;Op   ;***  ;   11.00;      ;      ;       ;                                                                                                           ;
Bica 366              ;CMa  ;07 19 00.0 -18 02 51 ;IR   ;***  ;    1.50;      ;      ;       ;                                                                                                           ;outer arm, in Sh2-226
Bica 369              ;Pup  ;07 47 45.0 -16 00 40 ;Op   ;OC?? ;    9.00;      ;      ;       ;                                                                                                           ;includes 2 bright stars
