Name                          ;Alias                         ;TotCl; TotAl; TotC; FracCl%; FracAl%
NGC 2259                      ;FoF 370                       ;  184;   140;   96;  52.174;  68.571
NGC 2259                      ;Melotte 48                    ;     ;      ;     ;        ;
NGC 2262                      ;Collinder 109                 ;     ;      ;     ;        ;
NGC 2262                      ;FSR 1055                      ;     ;      ;     ;        ;
NGC 2262                      ;FoF 81                        ;     ;      ;     ;        ;
NGC 2262                      ;FoF 81                        ;  215;   176;  120;  55.814;  68.182
NGC 2262                      ;Theia 3271                    ;     ;      ;     ;        ;
NGC 2262                      ;Theia 3271                    ;  215;    91;   27;  12.558;  29.670
NGC 2264                      ;Collinder 112                 ;     ;      ;     ;        ;
NGC 2264                      ;Escorial 9                    ;     ;      ;     ;        ;
NGC 2264                      ;Escorial 9                    ;  513;     5;    2;   0.390;  40.000
NGC 2264                      ;FoF 2324                      ;  513;   536;  349;  68.031;  65.112
NGC 2264                      ;Melotte 49                    ;     ;      ;     ;        ;
NGC 2264                      ;Mon I                         ;     ;      ;     ;        ;
NGC 2264                      ;Mon T1                        ;     ;      ;     ;        ;
NGC 2264                      ;S Mon                         ;     ;      ;     ;        ;
NGC 2264                      ;Theia 41                      ;     ;      ;     ;        ;
NGC 2264                      ;Theia 41                      ;  513;   808;  358;  69.786;  44.307
NGC 2264                      ;UPK 400                       ;     ;      ;     ;        ;
NGC 2264                      ;Winter Christmas Tree         ;     ;      ;     ;        ;
NGC 2264 A                    ;TPN 19                        ;     ;      ;     ;        ;
NGC 2264 C                    ;SHD 1                         ;     ;      ;     ;        ;
NGC 2264 IRS 1                ;BDB 199                       ;     ;      ;     ;        ;
NGC 2264 IRS 1                ;Hodapp 12                     ;     ;      ;     ;        ;
NGC 2264 IRS 1                ;NGC 2264 K                    ;     ;      ;     ;        ;
NGC 2264 IRS 1                ;UPK 400                       ;     ;      ;     ;        ;
NGC 2264 IRS 2                ;IRAS 06382+0939               ;     ;      ;     ;        ;
NGC 2264 IRS 2                ;KKC 24                        ;     ;      ;     ;        ;
NGC 2264 IRS 2                ;Loktin-Popova 44              ;     ;      ;     ;        ;
NGC 2264 IRS 2                ;Mon OB1D                      ;     ;      ;     ;        ;
NGC 2264 IRS 2                ;NGC 2264 J                    ;     ;      ;     ;        ;
NGC 2264 IRS 2                ;UPK 400                       ;     ;      ;     ;        ;
NGC 2264 IRS 2                ;YTL 1                         ;     ;      ;     ;        ;
NGC 2264 IRS1                 ;Hodapp 12                     ;     ;      ;     ;        ;
NGC 2264 IRS1 SE              ;BDB 200                       ;     ;      ;     ;        ;
NGC 2264 IRS1 SE              ;SHD 1                         ;     ;      ;     ;        ;
NGC 2264 J                    ;NGC 2264 IRS 2                ;     ;      ;     ;        ;
NGC 2264 K                    ;NGC 2264 IRS 1                ;     ;      ;     ;        ;
NGC 2264 North                ;FSR 990                       ;     ;      ;     ;        ;
NGC 2264 North                ;Russeil 237                   ;     ;      ;     ;        ;
NGC 2266                      ;Collinder 113                 ;     ;      ;     ;        ;
NGC 2266                      ;FSR 879                       ;     ;      ;     ;        ;
NGC 2266                      ;FoF 631                       ;     ;      ;     ;        ;
NGC 2266                      ;FoF 631                       ;  227;   240;  178;  78.414;  74.167
NGC 2266                      ;Melotte 50                    ;     ;      ;     ;        ;
NGC 2266                      ;Theia 5293                    ;     ;      ;     ;        ;
NGC 2266                      ;Theia 5293                    ;  227;   131;   43;  18.943;  32.824
NGC 2269                      ;Collinder 114                 ;     ;      ;     ;        ;
NGC 2269                      ;FSR 1037                      ;     ;      ;     ;        ;
NGC 2269                      ;FoF 2078                      ;     ;      ;     ;        ;
NGC 2269                      ;FoF 2078                      ;   92;    67;   38;  41.304;  56.716
NGC 2269                      ;Theia 1988                    ;   92;   630;   29;  31.522;   4.603
NGC 2281                      ;Collinder 116                 ;     ;      ;     ;        ;
NGC 2281                      ;Melotte 51                    ;     ;      ;     ;        ;
NGC 2281                      ;Theia 635                     ;     ;      ;     ;        ;
NGC 2281                      ;Theia 635                     ;  410;   616;  372;  90.732;  60.390
NGC 2282                      ;BDB 225                       ;     ;      ;     ;        ;
NGC 2282                      ;FSR 1062                      ;     ;      ;     ;        ;
NGC 2282                      ;vdB 85                        ;     ;      ;     ;        ;
NGC 2282                      ;vdBergh 85                    ;     ;      ;     ;        ;
NGC 2286                      ;Collinder 117                 ;     ;      ;     ;        ;
NGC 2286                      ;FSR 1104                      ;     ;      ;     ;        ;
NGC 2286                      ;FoF 85                        ;     ;      ;     ;        ;
NGC 2286                      ;FoF 85                        ;  140;   134;   93;  66.429;  69.403
NGC 2286                      ;Theia 3007                    ;     ;      ;     ;        ;
NGC 2286                      ;Theia 3007                    ;  140;   124;   52;  37.143;  41.935
NGC 2287                      ;FoF 2269                      ;     ;      ;     ;        ;
NGC 2287                      ;FoF 2269                      ;  625;   496;  469;  75.040;  94.556
NGC 2287                      ;M 41                          ;     ;      ;     ;        ;
NGC 2287                      ;Theia 476                     ;     ;      ;     ;        ;
NGC 2287                      ;Theia 476                     ;  625;   842;  615;  98.400;  73.040
NGC 2287                      ;UPK 461                       ;     ;      ;     ;        ;
NGC 2298                      ;ESO 366-22                    ;     ;      ;     ;        ;
NGC 2298                      ;FSR 1322                      ;     ;      ;     ;        ;
NGC 2301                      ;Collinder 119                 ;     ;      ;     ;        ;
NGC 2301                      ;FoF 2215                      ;     ;      ;     ;        ;
NGC 2301                      ;FoF 2215                      ;  801;   508;  484;  60.424;  95.276
NGC 2301                      ;Melotte 54                    ;     ;      ;     ;        ;
