Srcs: WEBDA Lit, Bukowiecki, SAI, Malysheva, Tadross, MWSC, Froebrich, Dambis, Lata, Buckner+13,14 Loktin, XHIP, Pleiades (Mamajek HP),
Hyades (OCs BOOK), Rup I, Rup III, Melnik95,09

Cluster Name                           dist     EB-V   log t    Authors                          Year  Reference

2MASS-GC01                             3370                     Baumgart                         2021, website
2MASS-GC02                             5500                     Baumgart                         2021, website
AB Doradus                               29.3                   ANDERSON E., FRANCIS C.          2012, ASTRON. LETTERS 38, 331A (XHIP)
NGC 457                                         0.49            POLISHCHUK                       1970, AM.AF,9,17
NGC 457                                                 7.08    BARBARO                          1969, AP.SP.SC,3,123
NGC 457                                         0.43            STARIKOVA                        1968, A.ZH,45,795
NGC 457                                 450                     CHARLIER                         1918, LD.M,S2,N19,19
NGC 457                                 660                     SHAPLEY                          1930, ST.CL,228
NGC 457                                 980                     BODEN                            1943, UP.AN,2,N1
NGC 457                                1030                     RAAB                             1922, LD.M,S2,N30,19
NGC 457                                1030                     DOIG                             1926, JBAA,36,109
NGC 457                                1350                     BARHATOVA                        1950, A.ZH,27,181
NGC 457                                1470                     COLLINDER                        1931, LD.AN,2,CR
NGC 457                                1470                     COLLINDER                        1931, LD.AN,2,LK
NGC 457                                1480                     TRUMPLER                         1930, LOB,14,170,156
NGC 457                                1600                     BUCKNER & FROEBRICH              2013, MNRAS 436, 1465
NGC 457                                1600             8.20    BUCKNER ET AL.                   2014, MNRAS 444, 290
NGC 457                                1700                     WEAVER                           1953, AJ,58,179
NGC 457                                1800                     WALLENQUIST                      1959, UP.AN,4,N6
NGC 457                                2000                     MELNIK A.M., DAMBIS A.K.         2009, MNRAS 400, 518
NGC 457                                2030                     BECKER                           1958, ZF.A,45,269
NGC 457                                2253     0.30    7.35    Bukowiecki L., et al.            2011, AcA 62
NGC 457                                2280                     SANFORD                          1949, AP.J,110,117
NGC 457                                2300                     BECKER                           1954, ZF.A,34,1
NGC 457                                2370                     ALTER                            1944, MN,104,185
NGC 457                                2400     0.40    7.380   Kharchenko N. V., et al.         2013, A&A 558A, 53 (MWSC II)
NGC 457                                2421     0.505   7.30    DAMBIS, A. K.                    1999, ASTRON LETTERS 25, 1, 7-13
NGC 457                                2510                     HOAG                             1965, AP.J.SUPPL,N107
NGC 457                                2520                     HOAG                             1965, VISTAS,8,139
NGC 457                                2621     0.505   7.038   PESCH P.                         1959, ASTROPHYS.J. 130, 764
NGC 457                                2700                     BECKER                           1961, ZF.A,51,151
NGC 457                                2760             7.04    LINDOFF                          1968, SV.ARK.A,5,1
NGC 457                                2760                     BECKER                           1971, AS.AP.SUP,4,241
NGC 457                                2760                     BECKER                           1963, ZF.A,57,117
NGC 457                                2760                     VAN SCHEWICK                     1971, BONN.VER,N84
NGC 457                                2790                     BODEN                            1950, UP.AN,2,N10
NGC 457                                2800                     RIEKE                            1935, HC,397
NGC 457                                2855     0.478   7.082   HOAG A.A.,JOHNSON H.L.,ET AL.    1961, PUBL.US NAV.OBS. 17, PART 7, 343
NGC 457                                2860     0.48    7.15    LATA S., PANDEY A. K. ET AL.     2002, A A 388, 158–167
NGC 457                                2880                     PESCH                            1959, AP.J,130,764
