Problems:
   some clusters have equal values for Kharchenko+ 2013 and 2016DAML
   some clusters have equal values for 2017AstBu..72..257L and 2016DAML
   some clusters are known by more than one name in this file

2MASS-GC 1               ; BDCC                ; 6.80 ; 10.10
Trumpler 24              ; 2016DAML            ; 0.418;  6.919
Trumpler 25              ; 2016DAML            ; 0.937;  8.350
Trumpler 25              ; 2020A&A...640A...1C ; 0.772;  8.36
Trumpler 25              ; Dias 2021           ; 0.929;  8.355
Trumpler 25              ; Kharchenko+ 2013    ; 0.937;  8.350
Trumpler 25              ; Tarricq 2021        ;      ;  8.40
Trumpler 26              ; 2016DAML            ; 0.35 ;  8.85
Trumpler 26              ; 2019 Bossini        ; 1.488;  8.561
Trumpler 26              ; 2020A&A...640A...1C ; 0.556;  8.40
Trumpler 26              ; Dias 2021           ; 0.567;  8.651
Trumpler 26              ; Kharchenko+ 2013    ; 0.729;  8.170
Trumpler 26              ; Tarricq 2021        ;      ;  8.43
Trumpler 27              ; 2016DAML            ; 1.194;  7.063
Trumpler 27              ; Kharchenko+ 2013    ; 1.208;  7.580
Trumpler 28              ; 2016DAML            ; 0.733;  7.290
Trumpler 28              ; 2020A&A...640A...1C ; 0.559;  7.89
Trumpler 28              ; Dias 2021           ; 0.724;  7.276
Trumpler 28              ; Kharchenko+ 2013    ; 0.958;  6.600
Trumpler 28              ; Tarricq 2021        ;      ;  7.97
Trumpler 29              ; 2016DAML            ; 0.19 ;  8.69
Trumpler 29              ; 2019 Bossini        ; 0.242;  7.762
Trumpler 29              ; 2020A&A...640A...1C ; 0.225;  7.71
Trumpler 29              ; Dias 2021           ; 0.301;  7.728
Trumpler 29              ; Kharchenko+ 2013    ; 0.000;  8.685
Trumpler 29              ; Tarricq 2021        ;      ;  7.72
Trumpler 3               ; 2016DAML            ; 0.19 ;  8.30
Trumpler 3               ; 2020A&A...640A...1C ; 0.216;  7.67
Trumpler 3               ; Dias 2021           ; 0.402;  7.628
Trumpler 3               ; Kharchenko+ 2013    ; 0.221;  8.005
Trumpler 3               ; Tarricq 2021        ;      ;  7.68
Trumpler 30              ; 2016DAML            ; 0.22 ;  8.31
Trumpler 30              ; 2019 Bossini        ; 0.300;  8.566
Trumpler 30              ; 2020A&A...640A...1C ; 0.253;  8.64
Trumpler 30              ; Dias 2021           ; 0.196;  8.770
Trumpler 30              ; Kharchenko+ 2013    ; 0.479;  8.350
Trumpler 30              ; Tarricq 2021        ;      ;  8.69
Trumpler 32              ; 2016DAML            ; 0.64 ;  8.48
Trumpler 32              ; 2020A&A...640A...1C ; 0.413;  9.13
Trumpler 32              ; Dias 2021           ; 0.799;  8.811
Trumpler 32              ; Kharchenko+ 2013    ; 0.770;  8.795
Trumpler 32              ; Tarricq 2021        ;      ;  9.14
Trumpler 33              ; 2016DAML            ; 0.357;  7.685
Trumpler 33              ; 2020A&A...640A...1C ; 0.381;  7.76
Trumpler 33              ; Dias 2021           ; 0.484;  7.689
Trumpler 33              ; Kharchenko+ 2013    ; 0.500;  7.840
Trumpler 33              ; Tarricq 2021        ;      ;  7.81
Trumpler 34              ; 2016DAML            ; 0.812;  8.585
Trumpler 34              ; Kharchenko+ 2013    ; 0.812;  8.585
Trumpler 35              ; 2016DAML            ; 1.218;  7.862
Trumpler 35              ; 2020A&A...640A...1C ; 1.006;  7.59
Trumpler 35              ; Kharchenko+ 2013    ; 1.166;  8.150
Trumpler 35              ; Tarricq 2021        ;      ;  7.64
Trumpler 37              ; 2016DAML            ; 0.470;  7.054
Trumpler 37              ; BDCC                ; 0.42 ;  6.00
Trumpler 5               ; 2016DAML            ; 0.62 ;  9.60
Trumpler 5               ; 2020A&A...640A...1C ; 0.375;  9.63
Trumpler 5               ; Dias 2021           ; 0.652;  9.539
Trumpler 5               ; Kharchenko+ 2013    ; 0.625;  9.500
Trumpler 5               ; Tarricq 2021        ;      ;  9.66
Trumpler 7               ; 2016DAML            ; 0.266;  7.430
Trumpler 7               ; 2019 Bossini        ; 0.271;  7.692
Trumpler 7               ; 2020A&A...640A...1C ; 0.244;  7.82
Trumpler 7               ; Dias 2021           ; 0.331;  8.185
Trumpler 7               ; Kharchenko+ 2013    ; 0.312;  8.000
Trumpler 9               ; 2016DAML            ; 0.248;  8.001
Trumpler 9               ; 2019 Bossini        ; 0.280;  7.486
Trumpler 9               ; 2020A&A...640A...1C ; 0.228;  7.50
Trumpler 9               ; Dias 2021           ; 0.273;  7.869
Trumpler 9               ; Kharchenko+ 2013    ; 0.187;  7.800
Tuc III                  ; BDCC                ; 0.01 ; 10.04
Tuc V                    ; BDCC                ; 0.02 ; 10.04
Turner 12                ; 2016DAML            ; 0.729;  8.490
Turner 12                ; Kharchenko+ 2013    ; 0.729;  8.490
Turner 13                ; BDCC                ; 0.64 ;  8.00
Turner 2                 ; 2016DAML            ; 0.36 ;  8.00
Turner 2                 ; Kharchenko+ 2013    ; 0.458;  7.900
Turner 3                 ; 2016DAML            ;      ;  7.46
Turner 3                 ; 2020A&A...640A...1C ; 0.566;  7.99
Turner 3                 ; Kharchenko+ 2013    ; 0.874;  7.460
Turner 5                 ; 2016DAML            ; 0.10 ;  8.49
Turner 5                 ; 2020A&A...640A...1C ; 0.013;  8.51
Turner 5                 ; Dias 2021           ; 0.076;  8.565
Turner 5                 ; Kharchenko+ 2013    ; 0.100;  8.490
Turner 5                 ; Tarricq 2021        ;      ;  8.52
Turner 9                 ; 2016DAML            ;      ;  8.20
Turner 9                 ; 2020A&A...640A...1C ; 0.266;  8.49
Turner 9                 ; Dias 2021           ; 0.227;  8.565
Turner 9                 ; Kharchenko+ 2013    ; 0.150;  8.030
Turner 9                 ; Tarricq 2021        ;      ;  8.51
UBC 1                    ; 2020A&A...640A...1C ; 0.109;  7.84
UBC 1                    ; Tarricq 2021        ;      ;  7.85
UBC 10 A                 ; 2020A&A...640A...1C ; 0.278;  7.15
UBC 10 A                 ; Tarricq 2021        ;      ;  7.16
UBC 10 B                 ; 2020A&A...640A...1C ; 0.425;  7.75
UBC 10 B                 ; Tarricq 2021        ;      ;  7.75
UBC 100                  ; 2020A&A...640A...1C ; 0.431;  8.20
UBC 101                  ; 2020A&A...640A...1C ; 0.881;  7.45
UBC 101                  ; Tarricq 2021        ;      ;  7.48
UBC 102                  ; 2020A&A...640A...1C ; 0.363;  8.52
UBC 102                  ; Tarricq 2021        ;      ;  8.58
UBC 103                  ; 2020A&A...640A...1C ; 0.438;  7.35
UBC 103                  ; Tarricq 2021        ;      ;  7.37
UBC 104                  ; 2020A&A...640A...1C ; 0.534;  7.81
UBC 104                  ; Dias 2021           ; 0.575;  8.428
UBC 104                  ; Tarricq 2021        ;      ;  8.03
UBC 105                  ; 2020A&A...640A...1C ; 0.619;  7.92
UBC 106                  ; 2020A&A...640A...1C ; 0.600;  8.20
UBC 106                  ; Tarricq 2021        ;      ;  8.22
UBC 107                  ; 2020A&A...640A...1C ; 0.841;  8.37
UBC 107                  ; Tarricq 2021        ;      ;  8.52
UBC 108                  ; 2020A&A...640A...1C ; 0.600;  8.87
UBC 108                  ; Dias 2021           ; 0.776;  8.753
UBC 108                  ; Tarricq 2021        ;      ;  8.94
UBC 11                   ; 2020A&A...640A...1C ; 0.138;  7.83
UBC 11                   ; Tarricq 2021        ;      ;  7.84
UBC 113                  ; 2020A&A...640A...1C ; 0.616;  8.63
UBC 114                  ; 2020A&A...640A...1C ; 0.319;  7.70
UBC 118                  ; 2020A&A...640A...1C ; 0.291;  8.60
UBC 118                  ; Dias 2021           ; 0.494;  8.329
UBC 119                  ; 2020A&A...640A...1C ; 0.272;  9.41
UBC 119                  ; Tarricq 2021        ;      ;  9.46
UBC 12                   ; 2020A&A...640A...1C ; 0.072;  8.37
UBC 12                   ; Tarricq 2021        ;      ;  8.39
UBC 120                  ; 2020A&A...640A...1C ; 0.284;  8.27
UBC 120                  ; Tarricq 2021        ;      ;  8.37
UBC 121                  ; 2020A&A...640A...1C ; 0.684;  8.21
UBC 121                  ; Dias 2021           ; 0.917;  7.091
UBC 122                  ; 2020A&A...640A...1C ; 0.750;  7.71
UBC 122                  ; Tarricq 2021        ;      ;  7.94
UBC 123                  ; 2020A&A...640A...1C ; 0.753;  8.41
UBC 123                  ; Tarricq 2021        ;      ;  8.39
UBC 124                  ; 2020A&A...640A...1C ; 0.788;  8.07
UBC 125                  ; 2020A&A...640A...1C ; 0.431;  8.76
UBC 126                  ; 2020A&A...640A...1C ; 0.819;  7.30
UBC 129                  ; 2020A&A...640A...1C ; 0.347;  7.72
UBC 13                   ; 2020A&A...640A...1C ; 0.000;  8.26
UBC 13                   ; Tarricq 2021        ;      ;  8.28
UBC 130                  ; 2020A&A...640A...1C ; 0.494;  7.44
UBC 130                  ; Tarricq 2021        ;      ;  7.50
UBC 132                  ; 2020A&A...640A...1C ; 0.834;  8.98
UBC 132                  ; Dias 2021           ; 0.984;  8.681
UBC 132                  ; Tarricq 2021        ;      ;  9.00
UBC 133                  ; 2020A&A...640A...1C ; 0.731;  7.93
UBC 133                  ; Dias 2021           ; 0.899;  7.648
UBC 134                  ; 2020A&A...640A...1C ; 0.600;  7.87
UBC 134                  ; Dias 2021           ; 0.795;  7.341
UBC 135                  ; 2020A&A...640A...1C ; 0.641;  7.38
UBC 135                  ; Tarricq 2021        ;      ;  7.60
UBC 136                  ; 2020A&A...640A...1C ; 0.616;  8.22
UBC 136                  ; Dias 2021           ; 0.809;  8.145
UBC 136                  ; Tarricq 2021        ;      ;  8.26
UBC 137                  ; 2020A&A...640A...1C ; 0.484;  8.46
UBC 139                  ; 2020A&A...640A...1C ; 0.319;  8.36
UBC 14                   ; 2020A&A...640A...1C ; 0.225;  7.72
UBC 141                  ; 2020A&A...640A...1C ; 0.159;  9.32
UBC 141                  ; Tarricq 2021        ;      ;  9.37
UBC 143                  ; 2020A&A...640A...1C ; 0.138;  8.67
UBC 143                  ; Tarricq 2021        ;      ;  8.68
UBC 146                  ; 2020A&A...640A...1C ; 0.456;  7.64
UBC 147                  ; 2020A&A...640A...1C ; 0.366;  7.54
UBC 148                  ; 2020A&A...640A...1C ; 0.531;  7.69
UBC 148                  ; Dias 2021           ; 0.630;  7.615
UBC 149                  ; 2020A&A...640A...1C ; 0.372;  7.54
UBC 149                  ; Dias 2021           ; 0.465;  7.969
UBC 150                  ; 2020A&A...640A...1C ; 0.116;  8.30
UBC 151                  ; 2020A&A...640A...1C ; 0.250;  8.26
UBC 151                  ; Dias 2021           ; 0.363;  8.108
UBC 152                  ; 2020A&A...640A...1C ; 0.472;  8.49
UBC 152                  ; Dias 2021           ; 0.633;  8.049
UBC 153                  ; 2020A&A...640A...1C ; 0.263;  8.52
UBC 153                  ; Tarricq 2021        ;      ;  8.54
UBC 154                  ; 2020A&A...640A...1C ; 0.466;  8.73
UBC 154                  ; Dias 2021           ; 0.580;  8.791
UBC 154                  ; Tarricq 2021        ;      ;  8.70
UBC 155                  ; 2020A&A...640A...1C ; 0.822;  8.68
UBC 155                  ; Dias 2021           ; 1.058;  7.105
UBC 155                  ; Tarricq 2021        ;      ;  8.75
UBC 156                  ; 2020A&A...640A...1C ; 0.400;  8.40
UBC 156                  ; Dias 2021           ; 0.629;  7.529
UBC 156                  ; Tarricq 2021        ;      ;  8.61
UBC 157                  ; 2020A&A...640A...1C ; 0.222;  8.25
UBC 157                  ; Dias 2021           ; 0.312;  8.092
UBC 158                  ; 2020A&A...640A...1C ; 0.413;  8.18
UBC 159                  ; 2020A&A...640A...1C ; 0.256;  7.16
UBC 159                  ; Tarricq 2021        ;      ;  7.17
UBC 160                  ; 2020A&A...640A...1C ; 0.400;  8.22
UBC 162                  ; 2020A&A...640A...1C ; 0.453;  8.34
UBC 162                  ; Dias 2021           ; 0.617;  8.276
UBC 163                  ; 2020A&A...640A...1C ; 0.403;  8.79
UBC 163                  ; Tarricq 2021        ;      ;  8.85
UBC 166                  ; 2020A&A...640A...1C ; 0.284;  7.53
UBC 166                  ; Dias 2021           ; 0.482;  7.234
UBC 167                  ; 2020A&A...640A...1C ; 0.338;  7.34
UBC 168                  ; 2020A&A...640A...1C ; 0.353;  7.86
UBC 169                  ; 2020A&A...640A...1C ; 0.081;  8.47
UBC 169                  ; Dias 2021           ; 0.182;  8.487
UBC 169                  ; Tarricq 2021        ;      ;  8.48
UBC 17 A                 ; 2020A&A...640A...1C ; 0.250;  7.27
UBC 17 A                 ; Dias 2021           ; 0.165;  7.046
UBC 17 A                 ; Tarricq 2021        ;      ;  7.27
UBC 17 B                 ; 2020A&A...640A...1C ; 0.016;  7.06
UBC 17 B                 ; Tarricq 2021        ;      ;  7.06
UBC 172                  ; 2020A&A...640A...1C ; 0.244;  8.31
UBC 172                  ; Dias 2021           ; 0.349;  8.366
UBC 172                  ; Tarricq 2021        ;      ;  8.33
UBC 173                  ; 2020A&A...640A...1C ; 0.484;  7.12
UBC 173                  ; Tarricq 2021        ;      ;  7.06
UBC 174                  ; 2020A&A...640A...1C ; 0.531;  7.00
UBC 174                  ; Tarricq 2021        ;      ;  7.02
UBC 175                  ; 2020A&A...640A...1C ; 0.275;  8.67
UBC 175                  ; Dias 2021           ; 0.346;  8.648
UBC 175                  ; Tarricq 2021        ;      ;  8.71
UBC 176                  ; 2020A&A...640A...1C ; 0.638;  6.84
UBC 176                  ; Tarricq 2021        ;      ;  7.00
UBC 177                  ; 2020A&A...640A...1C ; 0.622;  7.44
UBC 177                  ; Dias 2021           ; 0.659;  7.328
UBC 178                  ; 2020A&A...640A...1C ; 0.494;  7.01
UBC 178                  ; Dias 2021           ; 0.640;  7.022
UBC 179                  ; 2020A&A...640A...1C ; 0.434;  8.31
UBC 179                  ; Dias 2021           ; 0.657;  8.115
UBC 180                  ; 2020A&A...640A...1C ; 0.547;  8.42
UBC 180                  ; Tarricq 2021        ;      ;  8.48
UBC 181                  ; 2020A&A...640A...1C ; 0.338;  8.83
UBC 181                  ; Tarricq 2021        ;      ;  8.88
UBC 182                  ; 2020A&A...640A...1C ; 0.063;  7.13
UBC 182                  ; Dias 2021           ; 0.238;  7.053
UBC 183                  ; 2020A&A...640A...1C ; 0.116;  7.82
UBC 183                  ; Tarricq 2021        ;      ;  7.83
UBC 184                  ; 2020A&A...640A...1C ; 0.428;  8.91
UBC 184                  ; Tarricq 2021        ;      ;  8.95
